@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
165,97,48,20,117,0.145985,0.668966,0.82906,0.668966,0.17094,0.740458,0.414894,1.612378,0.701059
166,96,49,20,117,0.145985,0.662069,0.827586,0.662069,0.172414,0.735632,0.411348,1.609512,0.701066
167,96,49,19,118,0.138686,0.662069,0.834783,0.662069,0.165217,0.738462,0.407801,1.623508,0.702684
168,95,50,19,118,0.138686,0.655172,0.833333,0.655172,0.166667,0.733591,0.404255,1.62069,0.704267
169,95,50,18,119,0.131387,0.655172,0.840708,0.655172,0.159292,0.736434,0.400709,1.635032,0.709321
170,94,51,18,119,0.131387,0.648276,0.839286,0.648276,0.160714,0.731518,0.397163,1.632266,0.711964
171,93,52,18,119,0.131387,0.641379,0.837838,0.641379,0.162162,0.726562,0.393617,1.62945,0.714633
172,92,53,18,119,0.131387,0.634483,0.836364,0.634483,0.163636,0.721569,0.390071,1.626583,0.738542
173,91,54,18,119,0.131387,0.627586,0.834862,0.627586,0.165138,0.716535,0.386525,1.623663,0.739507
174,90,55,18,119,0.131387,0.62069,0.833333,0.62069,0.166667,0.711462,0.382979,1.62069,0.746718
175,89,56,18,119,0.131387,0.613793,0.831776,0.613793,0.168224,0.706349,0.379433,1.61766,0.749458
176,88,57,18,119,0.131387,0.606897,0.830189,0.606897,0.169811,0.701195,0.375887,1.614574,0.760071
177,88,57,17,120,0.124088,0.606897,0.838095,0.606897,0.161905,0.704,0.37234,1.629951,0.76464
178,87,58,17,120,0.124088,0.6,0.836538,0.6,0.163462,0.698795,0.368794,1.626923,0.768153
179,86,59,17,120,0.124088,0.593103,0.834951,0.593103,0.165049,0.693548,0.365248,1.623837,0.771242
180,85,60,17,120,0.124088,0.586207,0.833333,0.586207,0.166667,0.688259,0.361702,1.62069,0.772242
181,85,60,16,121,0.116788,0.586207,0.841584,0.586207,0.158416,0.691057,0.358156,1.636736,0.772701
182,84,61,16,121,0.116788,0.57931,0.84,0.57931,0.16,0.685714,0.35461,1.633655,0.773765
183,84,61,15,122,0.109489,0.57931,0.848485,0.57931,0.151515,0.688525,0.351064,1.650157,0.775306
184,84,61,14,123,0.10219,0.57931,0.857143,0.57931,0.142857,0.691358,0.347518,1.666995,0.777483
185,84,61,13,124,0.094891,0.57931,0.865979,0.57931,0.134021,0.694215,0.343972,1.684181,0.79486
186,83,62,13,124,0.094891,0.572414,0.864583,0.572414,0.135417,0.688797,0.340426,1.681466,0.795606
187,82,63,13,124,0.094891,0.565517,0.863158,0.565517,0.136842,0.683333,0.336879,1.678693,0.795892
188,81,64,13,124,0.094891,0.558621,0.861702,0.558621,0.138298,0.677824,0.333333,1.675862,0.798805
189,81,64,12,125,0.087591,0.558621,0.870968,0.558621,0.129032,0.680672,0.329787,1.693882,0.803497
190,80,65,12,125,0.087591,0.551724,0.869565,0.551724,0.130435,0.675105,0.326241,1.691154,0.803747
191,79,66,12,125,0.087591,0.544828,0.868132,0.544828,0.131868,0.669492,0.322695,1.688367,0.806064
192,78,67,12,125,0.087591,0.537931,0.866667,0.537931,0.133333,0.66383,0.319149,1.685517,0.812036
193,77,68,12,125,0.087591,0.531034,0.865169,0.531034,0.134831,0.65812,0.315603,1.682604,0.819945
194,76,69,12,125,0.087591,0.524138,0.863636,0.524138,0.136364,0.652361,0.312057,1.679624,0.821104
195,76,69,11,126,0.080292,0.524138,0.873563,0.524138,0.126437,0.655172,0.308511,1.69893,0.830318
196,75,70,11,126,0.080292,0.517241,0.872093,0.517241,0.127907,0.649351,0.304965,1.696071,0.831498
197,74,71,11,126,0.080292,0.510345,0.870588,0.510345,0.129412,0.643478,0.301418,1.693144,0.835425
198,73,72,11,126,0.080292,0.503448,0.869048,0.503448,0.130952,0.637555,0.297872,1.690148,0.840614
199,72,73,11,126,0.080292,0.496552,0.86747,0.496552,0.13253,0.631579,0.294326,1.687079,0.84381
200,71,74,11,126,0.080292,0.489655,0.865854,0.489655,0.134146,0.625551,0.29078,1.683936,0.844895
201,71,74,10,127,0.072993,0.489655,0.876543,0.489655,0.123457,0.628319,0.287234,1.704725,0.845987
202,70,75,10,127,0.072993,0.482759,0.875,0.482759,0.125,0.622222,0.283688,1.701724,0.853363
203,69,76,10,127,0.072993,0.475862,0.873418,0.475862,0.126582,0.616071,0.280142,1.698647,0.859118
204,68,77,10,127,0.072993,0.468966,0.871795,0.468966,0.128205,0.609865,0.276596,1.695491,0.863138
205,68,77,9,128,0.065693,0.468966,0.883117,0.468966,0.116883,0.612613,0.27305,1.71751,0.866892
206,67,78,9,128,0.065693,0.462069,0.881579,0.462069,0.118421,0.606335,0.269504,1.714519,0.867821
207,66,79,9,128,0.065693,0.455172,0.88,0.455172,0.12,0.6,0.265957,1.711448,0.87758
208,65,80,9,128,0.065693,0.448276,0.878378,0.448276,0.121622,0.593607,0.262411,1.708295,0.879527
209,64,81,9,128,0.065693,0.441379,0.876712,0.441379,0.123288,0.587156,0.258865,1.705054,0.881294
210,63,82,9,128,0.065693,0.434483,0.875,0.434483,0.125,0.580645,0.255319,1.701724,0.881295
211,62,83,9,128,0.065693,0.427586,0.873239,0.427586,0.126761,0.574074,0.251773,1.6983,0.88307
212,62,83,8,129,0.058394,0.427586,0.885714,0.427586,0.114286,0.576744,0.248227,1.722562,0.8854
213,62,83,7,130,0.051095,0.427586,0.898551,0.427586,0.101449,0.579439,0.244681,1.747526,0.885402
214,61,84,7,130,0.051095,0.42069,0.897059,0.42069,0.102941,0.57277,0.241135,1.744625,0.892849
215,61,84,6,131,0.043796,0.42069,0.910448,0.42069,0.089552,0.575472,0.237589,1.770664,0.893318
216,60,85,6,131,0.043796,0.413793,0.909091,0.413793,0.090909,0.56872,0.234043,1.768025,0.896734
217,59,86,6,131,0.043796,0.406897,0.907692,0.406897,0.092308,0.561905,0.230496,1.765305,0.902782
218,58,87,6,131,0.043796,0.4,0.90625,0.4,0.09375,0.555024,0.22695,1.7625,0.904616
219,57,88,6,131,0.043796,0.393103,0.904762,0.393103,0.095238,0.548077,0.223404,1.759606,0.905893
220,57,88,5,132,0.036496,0.393103,0.919355,0.393103,0.080645,0.550725,0.219858,1.787987,0.906285
221,56,89,5,132,0.036496,0.386207,0.918033,0.386207,0.081967,0.543689,0.216312,1.785415,0.907712
222,55,90,5,132,0.036496,0.37931,0.916667,0.37931,0.083333,0.536585,0.212766,1.782759,0.914093
223,54,91,5,132,0.036496,0.372414,0.915254,0.372414,0.084746,0.529412,0.20922,1.780012,0.915178
224,54,91,4,133,0.029197,0.372414,0.931034,0.372414,0.068966,0.53202,0.205674,1.810702,0.916792
225,53,92,4,133,0.029197,0.365517,0.929825,0.365517,0.070175,0.524752,0.202128,1.808348,0.921527
226,52,93,4,133,0.029197,0.358621,0.928571,0.358621,0.071429,0.517413,0.198582,1.805911,0.922422
227,51,94,4,133,0.029197,0.351724,0.927273,0.351724,0.072727,0.51,0.195035,1.803386,0.922507
228,50,95,4,133,0.029197,0.344828,0.925926,0.344828,0.074074,0.502513,0.191489,1.800766,0.923004
229,49,96,4,133,0.029197,0.337931,0.924528,0.337931,0.075472,0.494949,0.187943,1.798048,0.924466
230,48,97,4,133,0.029197,0.331034,0.923077,0.331034,0.076923,0.48731,0.184397,1.795225,0.931614
